Time (s),VplgR (V),VplgL (V),Current (V)
3061.1777401,1.66737688442,1.3667183908,-0.00020850587
3061.37252808,1.66737688442,1.36675862069,-0.000127845074
3061.57755899,1.66737688442,1.36679885057,-6.4512379e-05
3061.77838302,1.66737688442,1.36683908046,-0.000203891634
3061.97941709,1.66737688442,1.36687931034,-0.000174482598
3062.17781997,1.66737688442,1.36691954023,-9.15754384e-05
3062.37410212,1.66737688442,1.36695977011,-0.000109247737
3062.5751791,1.66737688442,1.367,-0.00020762258
3063.89172816,1.66741708543,1.36,-0.000531879797
3064.06614494,1.66741708543,1.36004022989,-0.000269270623
3064.24008012,1.66741708543,1.36008045977,-0.000115054089
3064.41870713,1.66741708543,1.36012068966,-6.86595827e-05
3064.59264803,1.66741708543,1.36016091954,-0.000197462337
3064.77694201,1.66741708543,1.36020114943,-0.000210908872
3064.98004913,1.66741708543,1.36024137931,-0.000103436693
3065.17958808,1.66741708543,1.3602816092,-0.000101383665
3065.38480711,1.66741708543,1.36032183908,-0.000205696953
3065.58007908,1.66741708543,1.36036206897,-0.000157189385
3065.77930713,1.66741708543,1.36040229885,-0.000128121296
3065.97891998,1.66741708543,1.36044252874,-0.000189275362
3066.17824197,1.66741708543,1.36048275862,-0.000202118437
3066.38810205,1.66741708543,1.36052298851,-9.06915483e-05
3066.58601713,1.66741708543,1.36056321839,-8.5123163e-05
3066.78645515,1.66741708543,1.36060344828,-0.000191564673
3066.98151493,1.66741708543,1.36064367816,-0.00015788259
3067.18036294,1.66741708543,1.36068390805,-7.18581706e-05
3067.38594413,1.66741708543,1.36072413793,-0.000144599553
3067.5879271,1.66741708543,1.36076436782,-0.000197971233
3067.78062606,1.66741708543,1.3608045977,-0.000104172729
3067.98666406,1.66741708543,1.36084482759,-7.48627064e-05
3068.18753695,1.66741708543,1.36088505747,-0.000189482049
3068.38231707,1.66741708543,1.36092528736,-0.000161212554
3068.58138609,1.66741708543,1.36096551724,-9.65513158e-05
3068.7855351,1.66741708543,1.36100574713,-0.000151351754
3068.98786616,1.66741708543,1.36104597701,-0.000262202979
3069.18584895,1.66741708543,1.3610862069,-0.000137590259
3069.38267994,1.66741708543,1.36112643678,-7.25928815e-05
3069.58368015,1.66741708543,1.36116666667,-0.000195494604
3069.78794003,1.66741708543,1.36120689655,-0.00015670455
3069.98740411,1.66741708543,1.36124712644,-8.71141158e-05
3070.18846893,1.66741708543,1.36128735632,-0.000132719171
3070.38723302,1.66741708543,1.36132758621,-0.000195677471
3070.58816814,1.66741708543,1.36136781609,-0.000117375763
3070.78341913,1.66741708543,1.36140804598,-5.73966112e-05
3070.9823761,1.66741708543,1.36144827586,-0.000192704215
3071.18926096,1.66741708543,1.36148850575,-0.000184471041
3071.39000201,1.66741708543,1.36152873563,-8.54781876e-05
3071.59050393,1.66741708543,1.36156896552,-0.000125630231
3071.786062,1.66741708543,1.3616091954,-0.000204659191
3071.98515511,1.66741708543,1.36164942529,-0.000130139077
3072.18797898,1.66741708543,1.36168965517,-6.65556641e-05
3072.388659,1.66741708543,1.36172988506,-0.000197517437
3072.58825707,1.66741708543,1.36177011494,-0.000254845635
3072.78905106,1.66741708543,1.36181034483,-0.00013235452
3072.99019313,1.66741708543,1.36185057471,-0.000167391375
3073.19035196,1.66741708543,1.3618908046,-0.000313029695
3073.38597798,1.66741708543,1.36193103448,-0.000404782747
3073.58982801,1.66741708543,1.36197126437,-0.00109179309
3073.78920412,1.66741708543,1.36201149425,-0.00204436961
3073.99625897,1.66741708543,1.36205172414,-0.00240683159
3074.18725014,1.66741708543,1.36209195402,-0.00267276856
3074.38626099,1.66741708543,1.36213218391,-0.00296113078
3074.58982801,1.66741708543,1.36217241379,-0.00327485974
3074.79553604,1.66741708543,1.36221264368,-0.00336552077
3074.99008012,1.66741708543,1.36225287356,-0.0034390492
3075.19016004,1.66741708543,1.36229310345,-0.00360017156
3075.39016414,1.66741708543,1.36233333333,-0.00370254912
3075.58811593,1.66741708543,1.36237356322,-0.00368089732
3075.787328,1.66741708543,1.3624137931,-0.0037047695
3075.99021602,1.66741708543,1.36245402299,-0.0038634974
3076.18937302,1.66741708543,1.36249425287,-0.00384331611
3076.39056802,1.66741708543,1.36253448276,-0.00379930271
3076.59137106,1.66741708543,1.36257471264,-0.00389322297
3076.79054713,1.66741708543,1.36261494253,-0.0039680323
3076.99119115,1.66741708543,1.36265517241,-0.00388193461
3077.19646597,1.66741708543,1.3626954023,-0.003837132
3077.39039612,1.66741708543,1.36273563218,-0.00395123884
3077.5960741,1.66741708543,1.36277586207,-0.00390430945
3077.79729199,1.66741708543,1.36281609195,-0.00380406637
3077.99168706,1.66741708543,1.36285632184,-0.0038375479
3078.19831204,1.66741708543,1.36289655172,-0.00386293653
3078.39855409,1.66741708543,1.36293678161,-0.00375364869
3078.59687901,1.66741708543,1.36297701149,-0.00368438814
3078.79901505,1.66741708543,1.36301724138,-0.00376762132
3078.99186611,1.66741708543,1.36305747126,-0.003700774
3079.19061112,1.66741708543,1.36309770115,-0.00355945576
3079.39843607,1.66741708543,1.36313793103,-0.00354250073
3079.59918714,1.66741708543,1.36317816092,-0.00354784859
3079.79772806,1.66741708543,1.3632183908,-0.00339000482
3079.99476504,1.66741708543,1.36325862069,-0.00329101257
3080.19815803,1.66741708543,1.36329885057,-0.00338560389
3080.39251804,1.66741708543,1.36333908046,-0.0033024471
3080.59869695,1.66741708543,1.36337931034,-0.00316460861
3080.80066705,1.66741708543,1.36341954023,-0.00313806611
3080.99956012,1.66741708543,1.36345977011,-0.00310529667
3081.19874096,1.66741708543,1.3635,-0.00291700838
3081.39554906,1.66741708543,1.36354022989,-0.00279495975
3081.59716105,1.66741708543,1.36358045977,-0.0028340365
3081.80022812,1.66741708543,1.36362068966,-0.00278752903
3081.99844193,1.66741708543,1.36366091954,-0.00264607304
3082.200418,1.66741708543,1.36370114943,-0.00260960658
3082.39986205,1.66741708543,1.36374137931,-0.00262352496
3082.59960604,1.66741708543,1.3637816092,-0.00247916899
3082.79644394,1.66741708543,1.36382183908,-0.0023381704
3083.00159907,1.66741708543,1.36386206897,-0.00237190037
3083.20065713,1.66741708543,1.36390229885,-0.0022695358
3083.40116811,1.66741708543,1.36394252874,-0.00213917869
3083.60125494,1.66741708543,1.36398275862,-0.00217002635
3083.7992301,1.66741708543,1.36402298851,-0.00224768586
3083.99571395,1.66741708543,1.36406321839,-0.0021304128
3084.19925499,1.66741708543,1.36410344828,-0.00198988522
3084.40010405,1.66741708543,1.36414367816,-0.002065106
3084.60612106,1.66741708543,1.36418390805,-0.00199748305
3084.80046916,1.66741708543,1.36422413793,-0.00182167283
3085.00000405,1.66741708543,1.36426436782,-0.00175157711
3085.19747496,1.66741708543,1.3643045977,-0.00185489474
3085.40040612,1.66741708543,1.36434482759,-0.00177812321
3085.60650015,1.66741708543,1.36438505747,-0.00172567633
3085.80020404,1.66741708543,1.36442528736,-0.00180944272
3086.00540805,1.66741708543,1.36446551724,-0.00180693204
3086.20114708,1.66741708543,1.36450574713,-0.00169941415
3086.39960408,1.66741708543,1.36454597701,-0.00169390002
3086.60669994,1.66741708543,1.3645862069,-0.00183993896
3086.80639005,1.66741708543,1.36462643678,-0.00176104643
3087.00673795,1.66741708543,1.36466666667,-0.00170652522
3087.20537496,1.66741708543,1.36470689655,-0.00171623359
3087.40637612,1.66741708543,1.36474712644,-0.00174698742
3087.60111499,1.66741708543,1.36478735632,-0.00167919604
3087.80071115,1.66741708543,1.36482758621,-0.00163112266
3088.00692606,1.66741708543,1.36486781609,-0.00173882318
3088.20645809,1.66741708543,1.36490804598,-0.00168489111
3088.4069941,1.66741708543,1.36494827586,-0.0016133878
3088.60136294,1.66741708543,1.36498850575,-0.00165018354
3088.80798197,1.66741708543,1.36502873563,-0.00168102242
3089.00686097,1.66741708543,1.36506896552,-0.00160660986
3089.20765305,1.66741708543,1.3651091954,-0.0015577783
3089.40860295,1.66741708543,1.36514942529,-0.001729898
3089.60794115,1.66741708543,1.36518965517,-0.00168474891
3089.80767107,1.66741708543,1.36522988506,-0.00151867557
3090.00303793,1.66741708543,1.36527011494,-0.00152584006
3090.20948315,1.66741708543,1.36531034483,-0.001552304
3090.40774393,1.66741708543,1.36535057471,-0.00144703054
3090.60968208,1.66741708543,1.3653908046,-0.00136763044
3090.80886006,1.66741708543,1.36543103448,-0.00147754664
3091.00503111,1.66741708543,1.36547126437,-0.00144474737
3091.20812201,1.66741708543,1.36551149425,-0.0013137424
3091.40859294,1.66741708543,1.36555172414,-0.00130124665
3091.60800815,1.66741708543,1.36559195402,-0.00138115168
3091.809093,1.66741708543,1.36563218391,-0.00125497967
3092.00803614,1.66741708543,1.36567241379,-0.00111604266
3092.20925808,1.66741708543,1.36571264368,-0.0011792423
3092.40576601,1.66741708543,1.36575287356,-0.00117134285
3092.60918403,1.66741708543,1.36579310345,-0.00101823591
3092.80901694,1.66741708543,1.36583333333,-0.000971791593
3093.00977015,1.66741708543,1.36587356322,-0.0010292324
3093.20710707,1.66741708543,1.3659137931,-0.000904921046
3093.40869308,1.66741708543,1.36595402299,-0.000791151789
3093.61346316,1.66741708543,1.36599425287,-0.000821856406
3093.81067801,1.66741708543,1.36603448276,-0.000747617931
3094.01718211,1.66741708543,1.36607471264,-0.000573279899
3094.20933414,1.66741708543,1.36611494253,-0.000523387962
3094.41004705,1.66741708543,1.36615517241,-0.000585051166
3094.60789013,1.66741708543,1.3661954023,-0.000475602595
3094.80936193,1.66741708543,1.36623563218,-0.000357841331
3095.00940514,1.66741708543,1.36627586207,-0.000386407858
3095.214643,1.66741708543,1.36631609195,-0.000374755816
3095.41489911,1.66741708543,1.36635632184,-0.00021513572
3095.61075115,1.66741708543,1.36639655172,-0.000143318291
3095.80975795,1.66741708543,1.36643678161,-0.000231122042
3096.01030111,1.66741708543,1.36647701149,-0.000170775114
3096.21553612,1.66741708543,1.36651724138,-9.48210662e-05
3096.41675305,1.66741708543,1.36655747126,-0.00015105147
3096.61622405,1.66741708543,1.36659770115,-0.000207100449
3096.81772113,1.66741708543,1.36663793103,-0.000110185527
3097.01162696,1.66741708543,1.36667816092,-7.77981827e-05
3097.21054816,1.66741708543,1.3667183908,-0.00020915336
3097.41269398,1.66741708543,1.36675862069,-0.000175477653
3097.61143494,1.66741708543,1.36679885057,-8.20988994e-05
3097.81806707,1.66741708543,1.36683908046,-0.000133798079
3098.01176906,1.66741708543,1.36687931034,-0.000209331893
3098.21101403,1.66741708543,1.36691954023,-0.000102553645
3098.41500401,1.66741708543,1.36695977011,-6.15838787e-05
3098.61526704,1.66741708543,1.367,-0.000204785992
3099.92936015,1.66745728643,1.36,-0.000459366996
3100.09953213,1.66745728643,1.36004022989,-0.000265393024
3100.26979613,1.66745728643,1.36008045977,-0.000170146393
3100.4368701,1.66745728643,1.36012068966,-9.09007608e-05
3100.61466503,1.66745728643,1.36016091954,-0.000105460009
3100.8191421,1.66745728643,1.36020114943,-0.00020316775
3101.01837707,1.66745728643,1.36024137931,-0.000139426015
3101.21771193,1.66745728643,1.3602816092,-6.40621912e-05
3101.421978,1.66745728643,1.36032183908,-0.000178107553
3101.61969614,1.66745728643,1.36036206897,-0.00020722605
3101.81662607,1.66745728643,1.36040229885,-9.43113284e-05
3102.01576805,1.66745728643,1.36044252874,-9.87656749e-05
